id,migration,batch
45,2026_01_23_064040_create_users_table,2
46,2026_01_23_065745_create_password_reset_tokens_table,2
47,2026_01_23_081003_create_cache_table,2
48,2026_01_23_081003_create_sessions_table,2
49,2026_02_06_095528_create_measurements_table,2
50,2026_02_23_143244_create_contests_table,2
51,2026_03_06_084406_create_user_contests_table,2
52,2026_03_09_082324_create_user_steps_table,2
53,2026_03_13_144206_create_contest_rewards_table,3
54,2026_03_17_081624_rename_contest_rewards_to_contest_reward_settings,4
55,2026_03_17_145022_add_consolation_points_to_contests_table,5
56,2026_03_17_153010_drop_consolation_points_from_contests_table,6
57,2026_03_17_092000_add_unique_key_to_user_steps_table,7
58,2026_03_18_101500_add_device_source_to_user_contests_table,8
59,2026_03_19_090128_create_jobs_table,9
60,2026_03_19_090224_create_failed_jobs_table,9
